,epoch,split,total,rmse,mse,mae,informer_rmse,informer_mse,informer_mae
0,0,train,125080.0,20.994521010459557,301829.49638631276,359.92016122181803,539.147122285804,301335.1076211735,359.63516141930404
1,0,val,13880.0,56.66415945267471,2469534.7919308357,1001.594443443804,1165.5184839422052,2443004.6232244316,995.7428255948154
2,0,test,11780.0,75.24300373381791,3326862.3945670626,1335.6116259019525,1530.1467734888981,3286820.1768092103,1334.9724329898231
3,1,train,125080.0,20.381108461678277,284462.61925167893,348.2491510433323,522.3949444829201,284041.8632413903,347.9906450388383
4,1,val,13880.0,54.796762498311416,2284024.012391931,963.8990757835014,1126.1760129061613,2259644.694247159,958.2824235395951
5,1,test,11780.0,72.69983096681345,3081316.6139219017,1284.5702833191851,1478.1738457930715,3043454.606907895,1283.5871871145148
6,2,train,125080.0,12.668890630699478,92484.5459385993,206.516672329709,294.00603344975684,92370.72466916454,206.38188288163167
7,2,val,13880.0,22.540254602789535,299924.9250720461,369.0807394857709,460.08013569224966,299050.40980113635,369.5069822831587
8,2,test,11780.0,29.21569484328576,390945.9008488964,470.94070657364176,586.3088041606702,383719.4646381579,465.99245573344984
9,3,train,125080.0,7.998199080322968,34281.13658058843,128.96476945379956,182.53599252506177,34248.56975446428,128.91895660088986
10,3,val,13880.0,14.31140752347127,121775.09517291066,235.7531233114193,293.1455868807706,121379.57492897728,235.99810548262164
11,3,test,11780.0,18.565569581321625,160064.4441426146,301.2978373036927,374.9263024581106,157663.25493421053,299.04900239643297
12,4,train,125080.0,5.2575842486199456,14857.006459865686,85.0574690010893,120.26036336470624,14840.004504145409,85.0213687857803
13,4,val,13880.0,9.838787419651702,59870.02121757925,164.71255290886168,202.3131297718395,59668.50403941761,164.87304306030273
14,4,test,11780.0,12.572070374675032,74416.78786078098,207.0477056584253,254.92101488615336,73430.93883634868,205.69570320530943
15,5,train,125080.0,3.3873610440099586,6162.800772505597,55.51342275318796,77.52811838656055,6159.188038105867,55.49875779054603
16,5,val,13880.0,7.383046386015175,34769.23195244957,126.66652388778819,153.13042120500043,34690.74171031605,126.90480145541105
17,5,test,11780.0,9.290208593086799,41463.434762309,158.44088199013157,191.15952421489516,41283.54024465461,158.61605553877982
18,6,train,125080.0,2.414992967489088,3209.3184192117046,40.55481131919321,56.08121221892688,3205.99684672453,40.53337201293634
19,6,val,13880.0,6.043290143191642,26628.230182817002,105.17279710577269,127.38779640197754,26503.755404385654,105.32056938518177
20,6,test,11780.0,7.928487418260558,32754.18331918506,138.29204773052845,164.75655967310854,32394.435161389803,138.0786576522024
21,7,train,125080.0,2.0956627919264483,2478.657703070035,35.85714908083826,49.33831646977639,2477.1794994120696,35.85483901354731
22,7,val,13880.0,6.725441431930498,28565.481123919308,121.64845720010807,140.94140087474477,28701.47645152699,122.51216663013805
23,7,test,11780.0,8.04430167905746,30961.30415959253,143.42333801994906,168.22888223748458,31166.84886410362,144.741415324964
24,8,train,125080.0,1.975333443334547,2225.5126529021427,33.96835348814259,46.76172503646539,2225.1997823909837,33.967870760937124
25,8,val,13880.0,6.1896391063327405,25653.6190471902,110.97654294060699,130.31365966796875,25668.352672230114,111.52246822010387
26,8,test,11780.0,7.533584112870066,27757.399342105262,133.81348253130307,157.06223578202096,27643.101999383223,134.19942795602898
27,9,train,125080.0,1.8978457725044253,2055.990493334266,32.636445370275524,44.90197765583895,2055.1018807547434,32.62742019186214
28,9,val,13880.0,5.577270842010762,23146.150072046108,98.04200794758646,118.41049246354537,23080.693337180397,98.2488623532382
29,9,test,11780.0,7.0986083051749524,26567.131037775893,125.01232906011248,149.4172198646947,26485.342901932567,125.66584055047286
30,10,train,125080.0,1.8612074400313487,1975.8017883554526,31.989038733960264,44.07918325735598,1977.28115720165,32.0087946191126
31,10,val,13880.0,5.69463313649642,22506.56086995677,101.4499890242255,120.74900332364169,22460.700639204544,101.73201248862527
32,10,test,11780.0,7.451673658594413,27883.66863327674,132.5239853034805,155.44508562589945,27607.272897820723,132.3649175543534
33,11,train,125080.0,1.8488573538521285,1941.357170410937,31.806624697693476,43.57772819363341,1939.222988517917,31.789482564342265
34,11,val,13880.0,5.480706602420862,21441.706240994237,96.3846135120227,116.9854666969993,21452.635398171165,96.7320345098322
35,11,test,11780.0,7.316490103392933,27430.98798811545,129.99673804912987,154.33802032470703,27549.754034745067,131.17716759129576
36,12,train,125080.0,1.8049651631159183,1852.841174148545,30.976251238270006,42.64588858156788,1853.0458598234216,30.971035684858048
37,12,val,13880.0,5.130350918728611,21076.126819164267,89.03875257508555,110.00762471285734,20975.22920920632,89.08281508359042
38,12,test,11780.0,7.1360544926849006,27953.131218166385,125.22261745278014,149.85619936491312,27586.590871710527,124.9058767619886
39,13,train,125080.0,1.77641565086821,1785.6126763871123,30.4338967279691,41.850843731237916,1783.3342708665498,30.418843288810887
40,13,val,13880.0,5.212595514742716,21665.943124099424,90.28827379210195,111.7837893746116,21561.467570911755,90.3394643610174
41,13,test,11780.0,7.132805194433759,28132.717317487266,125.15839495569821,149.10332589400443,27599.25187602796,124.09333379645096
42,14,train,125080.0,1.7506595832378216,1732.6155183182764,29.969124978763592,41.285650798252654,1733.7904314313616,29.980776183459223
43,14,val,13880.0,6.131149617395758,25469.171172550432,110.36538114080511,130.17022722417659,25549.738370028408,111.00479264692827
44,14,test,11780.0,7.1675549751631475,24490.744015280135,126.97519166489813,149.32962598298727,24421.840614720393,127.36788900274979
45,15,train,125080.0,1.725820169915473,1683.9944305644387,29.48533845370213,40.691482981856986,1687.0124175402582,29.50048847587741
